id,company,city,country,country_code,lat,lng,sector,stage,amount_usd_m,lead_investor,date,year,quarter,data_quality_note,pct_above_global_avg
synth_7943a6bc,SynthCorp 1,Austin,USA,US,30.47779511752966,-98.02451536642997,HealthTech,Pre-Seed,0.48,Insight Partners,2020-02-24,2020,2020Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.2
synth_56073132,SynthCorp 2,Bangalore,India,IN,13.015878794760797,77.99942397189895,DeepTech,Pre-Seed,0.12,Benchmark,2021-06-14,2021,2021Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-99.6
synth_9e86cd6f,SynthCorp 3,Austin,USA,US,30.660524248161213,-97.73331298787038,EdTech,Series B,10.99,Kleiner Perkins,2019-01-27,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-59.3
synth_c7ed1866,SynthCorp 4,Beijing,China,CN,40.13906831061222,116.58307645206645,Logistics,Seed,0.76,Kleiner Perkins,2022-10-10,2022,2022Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.2
synth_4f7a3405,SynthCorp 5,Boston,USA,US,41.991217450245976,-70.8389993816399,Logistics,Series D+,74.96,Insight Partners,2023-03-31,2023,2023Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,177.8
synth_4741b888,SynthCorp 6,London,UK,GB,51.633202159163275,-0.9896577624381817,DeepTech,Pre-Seed,0.58,Andreessen Horowitz,2021-07-22,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-97.9
synth_b328386d,SynthCorp 7,Berlin,Germany,DE,52.36563212221986,13.464509513912924,HealthTech,Series A,3.92,Insight Partners,2022-12-26,2022,2022Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-85.5
synth_cc4243f8,SynthCorp 8,Austin,USA,US,30.418907807251777,-97.4923547962097,DeepTech,Series B,13.05,Index Ventures,2021-09-29,2021,2021Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-51.6
synth_670de646,SynthCorp 9,Shanghai,China,CN,31.422232186012575,121.38340372450931,Logistics,Series C,50.93,SoftBank Vision Fund,2022-07-16,2022,2022Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,88.7
synth_8afa63b7,SynthCorp 10,Austin,USA,US,30.369772313817126,-97.61445443174026,AI/ML,Series A,3.8,Benchmark,2024-02-23,2024,2024Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-85.9
synth_0988e96b,SynthCorp 11,Boston,USA,US,42.484828296555,-71.18964595713199,FinTech,Growth,92.75,Andreessen Horowitz,2020-07-20,2020,2020Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,243.7
synth_a5314aef,SynthCorp 12,New York,USA,US,40.46971698112427,-74.17436417946287,AgriTech,Seed,0.99,GV,2023-09-26,2023,2023Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-96.3
synth_6bc8e0db,SynthCorp 13,Beijing,China,CN,39.743872821359645,116.25251929722634,AI/ML,Series B,15.65,Index Ventures,2020-04-14,2020,2020Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-42.0
synth_3f45e35a,SynthCorp 14,Shanghai,China,CN,30.51763822807264,121.68698926137101,AI/ML,Series A,1.92,GV,2020-10-09,2020,2020Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-92.9
synth_76341a5e,SynthCorp 15,Stockholm,Sweden,SE,59.58986905517614,17.934754760171675,CleanEnergy,Series B,14.4,GV,2024-09-10,2024,2024Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-46.6
synth_9eb6d336,SynthCorp 16,Sydney,Australia,AU,-34.15122829449248,151.0069516704613,HealthTech,Growth,102.52,Kleiner Perkins,2019-01-03,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,279.9
synth_57588d90,SynthCorp 17,Dubai,UAE,AE,25.30174369620423,55.56798590394265,HealthTech,Series D+,76.09,GV,2019-11-19,2019,2019Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,182.0
synth_5e58d2ef,SynthCorp 18,Stockholm,Sweden,SE,59.49957985290857,18.00952054570729,EdTech,Seed,1.24,SoftBank Vision Fund,2024-04-30,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-95.4
synth_9a0e2089,SynthCorp 19,Tokyo,Japan,JP,35.23564970174899,140.08473050604843,AgriTech,Series C,23.01,GV,2023-06-23,2023,2023Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-14.7
synth_46333f45,SynthCorp 20,Bangalore,India,IN,12.76151369024758,77.93461531927606,DeepTech,Seed,0.98,Insight Partners,2019-09-20,2019,2019Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-96.4
synth_3bc1d79c,SynthCorp 21,London,UK,GB,51.348680116437436,-0.054689087708354955,DeepTech,Pre-Seed,0.4,Accel Partners,2019-05-09,2019,2019Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.5
synth_73c7ae21,SynthCorp 22,Seattle,USA,US,47.50276200119691,-122.94411192856342,AgriTech,Seed,0.88,SoftBank Vision Fund,2020-06-25,2020,2020Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-96.7
synth_7f27f90b,SynthCorp 23,Stockholm,Sweden,SE,59.455384773793384,17.88045936756762,FinTech,Series D+,85.28,Index Ventures,2023-11-01,2023,2023Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,216.0
synth_f129ebaf,SynthCorp 24,Austin,USA,US,30.04361513024304,-97.58621632393097,HealthTech,Series B,13.26,SoftBank Vision Fund,2019-09-06,2019,2019Q3,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-50.9
synth_65c37aed,SynthCorp 25,London,UK,GB,51.65472246146214,-0.12697327485560786,AgriTech,Series B,11.62,GV,2024-03-09,2024,2024Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-56.9
synth_b017aa49,SynthCorp 26,New York,USA,US,41.38508311113267,-74.13864438962406,DeepTech,Series B,19.06,Tiger Global,2019-03-02,2019,2019Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-29.4
synth_4543fc27,SynthCorp 27,Berlin,Germany,DE,52.03356053823829,12.77349163968275,AI/ML,Series A,5.49,General Catalyst,2020-11-05,2020,2020Q4,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-79.7
synth_acad6fac,SynthCorp 28,Beijing,China,CN,40.04594652819679,116.61540201201838,FinTech,Series C,54.03,Insight Partners,2024-06-16,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,100.2
synth_c643aee1,SynthCorp 29,Paris,France,FR,48.94524500624301,1.7651183643874988,CleanEnergy,Pre-Seed,0.48,Sequoia Capital,2024-05-06,2024,2024Q2,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-98.2
synth_f08c1a30,SynthCorp 30,Sydney,Australia,AU,-33.76651692402794,151.2562750734568,DeepTech,Seed,0.99,Bessemer Venture Partners,2021-01-31,2021,2021Q1,⚠️ SYNTHETIC DATA - For demonstration purposes only. Not real investment data.,-96.3
